Country Name,GDP,people,tech
毛里求斯,10920606198,1265740,20091030
马拉维,12182348213,19129955,1343178
马来西亚,3.37E+11,32365998,92107695744
纳米比亚,10619194505,2540916,3763324
新喀里多尼亚,0,271960,0
尼日尔,13741378450,24206636,8778472
尼日利亚,4.32E+11,206139587,190326670
尼加拉瓜,12621505383,6624554,9890064
荷兰,9.14E+11,17441139,87143359757
挪威,3.62E+11,5379475,4101873686
尼泊尔,33657175561,29136808,0
瑙魯,114626625.6,10834,0
新西兰,2.11E+11,5084300,590425989
阿曼,73971391417,5106622,0
巴基斯坦,2.63E+11,220892331,309393334
巴拿马,53977036995,4314768,0
秘鲁,2.02E+11,32971846,172740806
菲律宾,3.61E+11,109581085,32818761665
帕劳,257700000,18092,0
巴布亚新几内亚,24668899683,8947027,0
波兰,5.97E+11,37950802,19966820739
波多黎各,1.03E+11,3194034,0
朝鲜民主主义人民共和国,0,25778815,0
葡萄牙,2.29E+11,10305564,3370854654
巴拉圭,35670301496,7132530,54397924
约旦河西岸和加沙,15561300000,4803269,11992941
太平洋岛国,9530487872,2528958,0
法属波利尼西亚,0,280904,5106595
卡塔尔,1.44E+11,2881060,465899482
罗马尼亚,2.49E+11,19286123,6984613434
俄罗斯联邦,1.48E+12,144104080,6603644282
卢旺达,10333991456,12952209,0
沙特阿拉伯,7.00E+11,34813867,217407466
苏丹,21329109522,43849269,0
塞内加尔,24644234595,16743930,7555947
新加坡,3.40E+11,5685807,1.60E+11
所罗门群岛,1545888426,686878,0
塞拉利昂,4063289450,7976985,0
萨尔瓦多,24638720000,6486201,236033577
圣马力诺,0,33938,0
索马里,6965285325,15893219,0
塞尔维亚,53335016425,6908224,0
南苏丹,0,11193729,0
圣多美和普林西比,472914469.9,219161,0
苏里南,2884248048,586634,0
斯洛伐克共和国,1.05E+11,5458827,7860065584
斯洛文尼亚,53589609581,2100126,2542422115
瑞典,5.41E+11,10353442,17724963038
斯威士兰,3972728948,1160164,3735561
圣马丁(荷属),0,40812,0
塞舌尔,1059886364,98462,598551
阿拉伯叙利亚共和国,0,17500657,0
特克斯科斯群岛,924583000,38718,0
乍得,10829076802,16425859,0
多哥,7574636979,8278737,913794
泰国,5.02E+11,69799978,45837990396
塔吉克斯坦,8194150302,9537642,1554883
土库曼斯坦,0,6031187,0
拉丁美洲与加勒比海地区 (IBRD与IDA),4.48E+12,636492840,0
东帝汶,1902156800,1318442,0
汤加,488829964.1,105697,0
特立尼达和多巴哥,21588037505,1399491,0
突尼斯,41620349986,11818618,0
土耳其,7.20E+11,84339067,4172699730
图瓦卢,48855550.2,11792,0
坦桑尼亚,62409709111,59734213,0
乌干达,37600368181,45741000,11771659
乌克兰,1.55E+11,44134693,1175952422
乌拉圭,53628827440,3473727,113421790
美国,2.10E+13,329484123,1.42E+11
乌兹别克斯坦,59929951114,34232050,42220494
圣文森特和格林纳丁斯,807474074.1,110947,0
委内瑞拉玻利瓦尔共和国,0,28435943,0
英屬維爾京群島,0,30237,0
美属维京群岛,0,106290,0
越南,2.71E+11,97338583,1.02E+11
瓦努阿图,881547928.6,307150,0
萨摩亚,807100820.6,198410,0
科索沃,7716925356,1775378,0
也门共和国,0,29825968,0
南非,3.35E+11,59308690,1835041135
赞比亚,18110631358,18383956,10697410
津巴布韦,18051170799,14862927,8275258
